Date,Id,League,Account,Action,Stash,Item,X,Y
"2026-06-06T01:30:15.000Z",2779274614,"Runes of Aldur","MrHubert1710#5930","modified","$$$","33× Orb of Alchemy",3,1
"2026-06-06T01:30:15.000Z",2779274579,"Runes of Aldur","MrHubert1710#5930","modified","$$$","92× Exalted Orb",7,1
"2026-06-06T01:30:15.000Z",2779274537,"Runes of Aldur","MrHubert1710#5930","modified","Aug","23× Greater Robust Rune",33,1
"2026-06-06T01:30:14.000Z",2779274500,"Runes of Aldur","MrHubert1710#5930","modified","Abbys/Expediton","875× Verisium",7,10
"2026-06-06T01:30:13.000Z",2779274359,"Runes of Aldur","MrHubert1710#5930","modified","$$$","195× Blacksmith's Whetstone",14,1
"2026-06-06T01:30:13.000Z",2779274326,"Runes of Aldur","MrHubert1710#5930","modified","$$$","3× Perfect Orb of Augmentation",46,1
"2026-06-06T01:30:12.000Z",2779274275,"Runes of Aldur","MrHubert1710#5930","modified","Ess","13× Greater Essence of Abrasion",16,1
"2026-06-06T01:30:12.000Z",2779274240,"Runes of Aldur","MrHubert1710#5930","modified","Ess","4× Perfect Essence of Battle",55,1
"2026-06-06T01:21:24.000Z",2779206438,"Runes of Aldur","MrHubert1710#5930","added","Frag","Delirium Tablet",2,7
"2026-06-06T01:21:22.000Z",2779206241,"Runes of Aldur","MrHubert1710#5930","modified","Deli","2× Concentrated Liquid Fear",10,1
"2026-06-06T01:21:22.000Z",2779206190,"Runes of Aldur","MrHubert1710#5930","modified","$$$","90× Exalted Orb",7,1
"2026-06-06T01:21:21.000Z",2779206110,"Runes of Aldur","MrHubert1710#5930","modified","Deli","5× Liquid Despair",9,1
"2026-06-06T01:21:21.000Z",2779206057,"Runes of Aldur","MrHubert1710#5930","modified","$$$","2× Perfect Orb of Transmutation",44,1
"2026-06-06T01:21:21.000Z",2779206018,"Runes of Aldur","MrHubert1710#5930","modified","Aug","70× Greater Glacial Rune",6,1
"2026-06-06T01:21:20.000Z",2779205987,"Runes of Aldur","MrHubert1710#5930","modified","$$$","93× Chaos Orb",5,1
"2026-06-06T01:21:20.000Z",2779205964,"Runes of Aldur","MrHubert1710#5930","modified","Frag","1639× Breach Splinter",1,2
"2026-06-06T01:21:19.000Z",2779205889,"Runes of Aldur","MrHubert1710#5930","modified","$$$","55× Greater Orb of Transmutation",43,1
"2026-06-06T01:21:19.000Z",2779205857,"Runes of Aldur","MrHubert1710#5930","removed","$$$","9× Chance Shard",25,1
"2026-06-06T01:21:19.000Z",2779205856,"Runes of Aldur","MrHubert1710#5930","modified","$$$","4× Orb of Chance",10,1
"2026-06-06T01:21:19.000Z",2779205816,"Runes of Aldur","MrHubert1710#5930","modified","$$$","32× Orb of Alchemy",3,1
"2026-06-06T01:21:19.000Z",2779205777,"Runes of Aldur","MrHubert1710#5930","modified","Aug","22× Greater Robust Rune",33,1
"2026-06-06T01:21:18.000Z",2779205746,"Runes of Aldur","MrHubert1710#5930","modified","$$$","134× Greater Orb of Augmentation",45,1
"2026-06-06T01:21:17.000Z",2779205561,"Runes of Aldur","MrHubert1710#5930","modified","$$$","79× Regal Orb",4,1
"2026-06-06T01:21:17.000Z",2779205536,"Runes of Aldur","MrHubert1710#5930","modified","Deli","14× Liquid Envy",7,1
"2026-06-06T01:21:16.000Z",2779205469,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Waystone (Tier 15) (T15)",8,6
"2026-06-06T01:21:16.000Z",2779205399,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Waystone (Tier 15) (T15)",8,5
"2026-06-06T01:21:15.000Z",2779205296,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Waystone (Tier 15) (T15)",8,4
"2026-06-06T01:21:15.000Z",2779205283,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Waystone (Tier 15) (T15)",8,3
"2026-06-06T01:12:31.000Z",2779141162,"Runes of Aldur","MrHubert1710#5930","modified","$$$","85× Exalted Orb",7,1
"2026-06-06T01:12:30.000Z",2779141052,"Runes of Aldur","MrHubert1710#5930","modified","$$$","75× Exalted Orb",7,1
"2026-06-06T01:12:29.000Z",2779140936,"Runes of Aldur","MrHubert1710#5930","modified","$$$","60× Exalted Orb",7,1
"2026-06-06T01:12:29.000Z",2779140818,"Runes of Aldur","MrHubert1710#5930","modified","$$$","40× Exalted Orb",7,1
"2026-06-06T01:12:27.000Z",2779140608,"Runes of Aldur","MrHubert1710#5930","added","$$$","20× Exalted Orb",7,1
"2026-06-06T01:10:41.000Z",2779127397,"Runes of Aldur","JohnnyKremowka#3786","added","Quad","Eagle Scarab Solar Amulet",2,20
"2026-06-06T01:10:40.000Z",2779127311,"Runes of Aldur","JohnnyKremowka#3786","added","Quad","Snowy Prismatic Ring of the Lightning",2,19
"2026-06-06T01:10:40.000Z",2779127240,"Runes of Aldur","JohnnyKremowka#3786","added","Quad","Corpse Spiral Prismatic Ring",2,18
"2026-06-06T01:10:39.000Z",2779127057,"Runes of Aldur","MrHubert1710#5930","modified","$$$","17× Divine Orb",8,1
"2026-06-06T01:10:36.000Z",2779126674,"Runes of Aldur","MrHubert1710#5930","removed","$$$","16× Exalted Orb",7,1
"2026-06-06T01:10:35.000Z",2779126587,"Runes of Aldur","MrHubert1710#5930","modified","$$$","16× Exalted Orb",7,1
"2026-06-06T01:10:34.000Z",2779126497,"Runes of Aldur","MrHubert1710#5930","modified","$$$","36× Exalted Orb",7,1
"2026-06-06T01:08:19.000Z",2779109968,"Runes of Aldur","MrHubert1710#5930","modified","$$$","56× Exalted Orb",7,1
"2026-06-06T01:08:11.000Z",2779108949,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Fleeting Waystone (Tier 15) of Hexwarding (T15)",8,2
"2026-06-06T01:08:08.000Z",2779108674,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Waystone (Tier 15) of Fatigue (T15)",8,1
"2026-06-06T01:08:08.000Z",2779108593,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Shattering Waystone (Tier 15) of Overpowering (T15)",7,8
"2026-06-06T01:08:07.000Z",2779108537,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Waystone (Tier 15) of Enduring (T15)",7,7
"2026-06-06T01:08:07.000Z",2779108487,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Infernal Waystone (Tier 15) (T15)",7,6
"2026-06-06T01:08:06.000Z",2779108407,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Precise Waystone (Tier 15) of Enduring (T15)",7,5
"2026-06-06T01:08:06.000Z",2779108344,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Rotting Gambit Waystone (Tier 15) (T15)",7,4
"2026-06-06T01:08:05.000Z",2779108309,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Venomous Waystone (Tier 15) (T15)",7,3
"2026-06-06T01:07:59.000Z",2779107528,"Runes of Aldur","MrHubert1710#5930","added","Quad","Fate Knot Sapphire Ring",2,17
"2026-06-06T01:07:56.000Z",2779107235,"Runes of Aldur","MrHubert1710#5930","added","Quad","Lavish Wombgift",2,16
"2026-06-06T01:07:56.000Z",2779107192,"Runes of Aldur","MrHubert1710#5930","modified","Frag","1624× Breach Splinter",1,2
"2026-06-06T01:07:55.000Z",2779107150,"Runes of Aldur","MrHubert1710#5930","modified","Ess","19× Greater Essence of Ice",18,1
"2026-06-06T01:07:55.000Z",2779107117,"Runes of Aldur","MrHubert1710#5930","modified","Ess","3× Perfect Essence of Sorcery",56,1
"2026-06-06T01:07:55.000Z",2779107080,"Runes of Aldur","MrHubert1710#5930","modified","$$$","53× Greater Orb of Transmutation",43,1
"2026-06-06T01:07:55.000Z",2779107055,"Runes of Aldur","MrHubert1710#5930","modified","Ess","25× Greater Essence of Insulation",66,1
"2026-06-06T01:07:54.000Z",2779106950,"Runes of Aldur","MrHubert1710#5930","modified","Ritual","9× Omen of the Ancients",32,1
"2026-06-06T01:07:53.000Z",2779106893,"Runes of Aldur","MrHubert1710#5930","modified","$$$","76× Exalted Orb",7,1
"2026-06-06T01:07:53.000Z",2779106841,"Runes of Aldur","MrHubert1710#5930","modified","$$$","92× Chaos Orb",5,1
"2026-06-06T01:07:52.000Z",2779106811,"Runes of Aldur","MrHubert1710#5930","modified","Abbys/Expediton","12× Preserved Rib",6,2
